user_goal,habit_log,habit_type,sentiment,aligned
I want to learn C++.,I wrote a C++ program for file handling.,Programming,Positive,True
I want to learn C++.,I didn't practice any C++ today.,Programming,Negative,False
I want to get better at competitive programming.,I participated in a Codeforces contest.,Programming,Positive,True
I want to get better at competitive programming.,I didn't solve any problems today.,Programming,Negative,False
I want to learn SQL.,I wrote SQL queries to fetch data from a database.,Programming,Positive,True
I want to learn SQL.,I didn't open my SQL course today.,Programming,Negative,False
I want to learn data visualization.,I created a matplotlib plot in Python.,Programming,Positive,True
I want to learn data visualization.,I didn't work on any data visualization tasks.,Programming,Negative,False
I want to improve my coding skills.,I spent the day browsing memes online.,Distraction,Negative,False
I want to read more books.,I played mobile games for hours instead of reading.,Distraction,Negative,False
I want to save money.,I bought expensive coffee every day this week.,Finance,Negative,False
I want to eat healthier.,I ate chips and soda for dinner.,Nutrition,Negative,False
I want to meditate daily.,I forgot to meditate and felt stressed.,Mindfulness,Negative,False
I want to improve my public speaking skills.,I skipped the opportunity to present at work.,Communication,Negative,False
I want to learn about personal finance.,I spent money on unnecessary subscriptions.,Finance,Negative,False
I want to improve my fitness level.,I binged on junk food and skipped exercise.,Fitness,Negative,False
I want to learn Rust.,I completed a Rust ownership tutorial.,Programming,Positive,True
I want to learn Rust.,I didn't read any Rust documentation today.,Programming,Negative,False
I want to contribute to open source.,I joined an open source community call.,Programming,Positive,True
I want to contribute to open source.,I didn't check any open source issues this week.,Programming,Negative,False
I want to improve my problem-solving skills.,I solved a challenging puzzle today.,Learning,Positive,True
I want to improve my problem-solving skills.,I avoided working on any puzzles or problems.,Learning,Negative,False
I want to learn data analysis.,I analyzed a dataset using pandas.,Programming,Positive,True
I want to learn data analysis.,I didn't open my data analysis course today.,Programming,Negative,False
I want to improve my focus.,I worked for 2 hours without checking my phone.,Mindfulness,Positive,True
I want to improve my focus.,I kept getting distracted by notifications.,Distraction,Negative,False
I want to learn cloud computing.,I deployed an app to AWS today.,Programming,Positive,True
I want to learn cloud computing.,I didn't study any cloud concepts this week.,Programming,Negative,False
I want to improve my teamwork skills.,I collaborated with my team on a group project.,Communication,Positive,True
I want to improve my teamwork skills.,I worked alone and didn't communicate with my team.,Communication,Negative,False
I want to learn about cybersecurity.,I completed a module on network security.,Programming,Positive,True
I want to learn about cybersecurity.,I didn't review any cybersecurity materials today.,Programming,Negative,False
I want to grow my own vegetables.,I watered my vegetable garden and checked for pests.,Gardening,Positive,True
I want to grow my own vegetables.,I forgot to water my plants for three days.,Gardening,Negative,False
I want to learn to play chess.,I watched a chess strategy video and played a game online.,Learning,Positive,True
I want to learn to play chess.,I didn't practice chess today.,Learning,Negative,False
I want to keep my car in good condition.,I checked the tire pressure and cleaned the car interior.,Maintenance,Positive,True
I want to keep my car in good condition.,I ignored the check engine light.,Maintenance,Negative,False
I want to improve my digital privacy.,I updated my passwords and enabled two-factor authentication.,Security,Positive,True
I want to improve my digital privacy.,I used the same password for multiple accounts.,Security,Negative,False
I want to reduce my screen time.,I put my phone away during meals and before bed.,Wellbeing,Positive,True
I want to reduce my screen time.,I spent hours scrolling social media late at night.,Wellbeing,Negative,False
I want to be more environmentally conscious.,I used public transport instead of driving.,Sustainability,Positive,True
I want to be more environmentally conscious.,I drove alone instead of carpooling.,Sustainability,Negative,False
I want to improve my fashion sense.,I organized my wardrobe and planned outfits for the week.,Lifestyle,Positive,True
I want to improve my fashion sense.,I wore the same clothes for several days.,Lifestyle,Negative,False
I want to keep in touch with old friends.,I called a college friend and caught up.,Relationships,Positive,True
I want to keep in touch with old friends.,I didn't reply to my friend's message.,Relationships,Negative,False
I want to be more involved in my community.,I attended a neighborhood meeting.,Community Service,Positive,True
I want to be more involved in my community.,I ignored invitations to local events.,Community Service,Negative,False
I want to improve my cooking skills.,I tried a new international recipe.,Cooking,Positive,True
I want to improve my cooking skills.,I ate instant noodles for dinner.,Cooking,Negative,False
I want to be more prepared for emergencies.,I checked my first aid kit and emergency supplies.,Safety,Positive,True
I want to be more prepared for emergencies.,I realized my emergency kit is missing essentials.,Safety,Negative,False
I want to learn to play a new sport.,I attended my first tennis lesson.,Fitness,Positive,True
I want to learn to play a new sport.,I skipped my tennis lesson to watch TV.,Fitness,Negative,False
I want to improve my financial literacy.,I watched a documentary about investing.,Finance,Positive,True
I want to improve my financial literacy.,I ignored my monthly bank statement.,Finance,Negative,False
I want to be more creative.,I spent an hour painting with watercolors.,Creativity,Positive,True
I want to be more creative.,I didn't do any creative activities today.,Creativity,Negative,False
I want to reduce food waste.,I planned meals using leftovers.,Sustainability,Positive,True
I want to reduce food waste.,I threw away spoiled vegetables.,Sustainability,Negative,False
I want to improve my handwriting.,I practiced calligraphy for 20 minutes.,Learning,Positive,True
I want to improve my handwriting.,I only typed on my computer today.,Learning,Negative,False
I want to be more punctual.,I arrived early for my doctor's appointment.,Organization,Positive,True
I want to be more punctual.,I was late to pick up my child from school.,Organization,Negative,False
I want to learn to play the piano.,I practiced piano scales for 30 minutes.,Learning,Positive,True
I want to learn to play the piano.,I didn't touch the piano today.,Learning,Negative,False
I want to keep my house clean.,I vacuumed and dusted the living room.,Organization,Positive,True
I want to keep my house clean.,I left dirty dishes in the sink overnight.,Organization,Negative,False
I want to improve my photography skills.,I took photos during golden hour and reviewed them.,Learning,Positive,True
I want to improve my photography skills.,I didn't take any photos this week.,Learning,Negative,False
I want to be more mindful of my spending.,I tracked all my expenses in an app.,Finance,Positive,True
I want to be more mindful of my spending.,I made several impulse purchases online.,Finance,Negative,False
I want to learn to bake.,I baked homemade bread for the first time.,Cooking,Positive,True
I want to learn to bake.,I bought pastries instead of baking.,Cooking,Negative,False
I want to improve my public speaking.,I gave a short speech at a local event.,Communication,Positive,True
I want to improve my public speaking.,I avoided speaking up in a meeting.,Communication,Negative,False
I want to be more grateful.,I wrote a thank-you note to a colleague.,Mindfulness,Positive,True
I want to be more grateful.,I didn't acknowledge anyone's help today.,Mindfulness,Negative,False
